date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2025-07-29,30.254166666666666,15.120833333333332,168.45833333333334,5.304166666666666,7.570833333333333,51.416666666666664,0.5924999999999999,15.0,1.4395833333333332,58.25,31.75
2025-07-30,35.525,17.462500000000002,177.95833333333334,6.895833333333333,8.695833333333333,51.625,0.6766666666666666,21.416666666666668,0.8020833333333334,58.458333333333336,32.125
2025-07-31,40.729166666666664,19.616666666666667,181.45833333333334,7.1375,10.379166666666666,55.25,0.76625,28.458333333333332,1.15625,63.416666666666664,37.583333333333336
2025-08-01,43.37916666666666,20.9875,195.08333333333334,7.9375,13.120833333333332,57.458333333333336,0.7379166666666667,30.875,1.6520833333333333,68.16666666666667,45.541666666666664
2025-08-02,46.512499999999996,22.291666666666668,221.79166666666666,9.116666666666667,17.404166666666665,62.833333333333336,0.7083333333333334,35.166666666666664,1.9291666666666665,68.33333333333333,47.625
2025-08-03,45.0,22.2375,251.91666666666666,11.466666666666667,20.1375,59.708333333333336,0.7125,33.25,1.7000000000000002,73.45833333333333,53.458333333333336
2025-08-04,43.52916666666667,21.087500000000002,287.125,11.341666666666667,20.770833333333332,61.5,0.6504166666666666,33.833333333333336,1.7916666666666667,70.91666666666667,49.125
2025-08-05,45.05833333333334,20.708333333333332,344.1666666666667,9.65,20.275000000000002,63.666666666666664,0.5633333333333334,37.708333333333336,2.2375000000000003,68.41666666666667,49.0
2025-08-06,48.47083333333333,21.066666666666666,430.875,9.654166666666667,20.1875,61.708333333333336,0.5125000000000001,45.0,2.0395833333333333,69.16666666666667,50.875
2025-08-07,60.333333333333336,25.45,613.9166666666666,10.991666666666667,26.633333333333336,60.375,0.6133333333333334,58.291666666666664,2.1104166666666666,74.875,62.375
2025-08-08,58.67083333333333,25.554166666666664,501.0833333333333,11.799999999999999,27.558333333333334,56.708333333333336,0.56125,54.75,1.76875,77.91666666666667,63.541666666666664
2025-08-09,57.13333333333333,24.40833333333333,408.5,10.395833333333334,25.429166666666664,62.125,0.56375,53.5,1.9791666666666667,77.66666666666667,62.75
2025-08-10,51.26666666666667,22.625,330.875,11.0,24.558333333333334,57.958333333333336,0.57875,46.875,1.9645833333333333,76.0,62.541666666666664
2025-08-11,41.225,19.333333333333332,283.7916666666667,8.549999999999999,18.733333333333334,56.416666666666664,0.48666666666666664,34.166666666666664,2.2083333333333335,68.25,51.583333333333336
2025-08-12,33.46666666666667,18.279166666666665,276.125,8.674999999999999,18.229166666666668,54.5,0.45875,21.25,2.0416666666666665,63.458333333333336,37.583333333333336
2025-08-13,28.995833333333334,17.033333333333335,302.375,10.1,17.625,45.666666666666664,0.5258333333333333,15.166666666666666,1.1,62.833333333333336,35.916666666666664
2025-08-14,26.708333333333332,17.158333333333335,326.25,14.491666666666667,22.625,43.375,0.45208333333333334,11.791666666666666,1.1166666666666665,61.083333333333336,34.25
2025-08-15,33.15833333333333,17.037499999999998,300.6666666666667,9.5375,16.479166666666668,49.75,0.50375,23.958333333333332,0.9041666666666667,60.625,34.0
2025-08-16,26.858333333333334,14.266666666666666,310.375,9.683333333333334,15.270833333333334,44.083333333333336,0.37916666666666665,18.958333333333332,0.7854166666666665,59.041666666666664,32.666666666666664
2025-08-17,19.495833333333334,11.941666666666668,225.95833333333334,9.0,16.970833333333335,51.791666666666664,0.2816666666666667,10.416666666666666,1.6895833333333332,52.291666666666664,26.833333333333332
2025-08-18,21.216666666666665,11.929166666666667,212.08333333333334,6.833333333333333,9.012500000000001,53.791666666666664,0.2941666666666667,12.083333333333334,0.84375,49.708333333333336,24.291666666666668
2025-08-19,14.429166666666667,10.450000000000001,176.16666666666666,6.1875,7.0125,56.833333333333336,0.21041666666666667,3.0,0.32708333333333334,45.583333333333336,23.041666666666668
2025-08-20,31.1375,17.083333333333332,191.91666666666666,6.216666666666666,7.420833333333333,51.5,0.36541666666666667,17.416666666666668,0.9041666666666667,50.0,25.5
2025-08-21,30.891666666666666,17.304166666666667,174.25,6.154166666666666,9.299999999999999,49.75,0.39083333333333337,15.5,2.1958333333333333,62.75,35.958333333333336
2025-08-22,25.22083333333333,15.045833333333334,180.95833333333334,6.245833333333334,9.708333333333334,46.291666666666664,0.4008333333333333,9.666666666666666,2.1374999999999997,59.166666666666664,32.416666666666664
2025-08-23,23.525000000000002,14.287500000000001,168.54166666666666,6.283333333333334,8.825000000000001,48.083333333333336,0.41041666666666665,8.333333333333334,1.5999999999999999,55.791666666666664,29.416666666666668
2025-08-24,22.25,14.237499999999999,161.08333333333334,5.583333333333333,8.879166666666666,49.791666666666664,0.3758333333333333,4.791666666666667,2.1479166666666667,54.666666666666664,28.375
2025-08-25,25.366666666666664,14.629166666666668,197.20833333333334,6.7875000000000005,9.137500000000001,44.958333333333336,0.45083333333333336,11.791666666666666,0.9520833333333334,54.708333333333336,28.416666666666668
2025-08-26,44.479166666666664,20.075,227.70833333333334,7.05,11.904166666666667,47.291666666666664,0.6320833333333333,36.583333333333336,1.175,60.333333333333336,34.416666666666664
2025-08-27,56.987500000000004,24.587500000000002,308.9166666666667,9.304166666666667,17.291666666666668,57.333333333333336,0.67625,51.916666666666664,1.3395833333333333,71.79166666666667,59.875
2025-08-28,69.76666666666667,25.483333333333334,328.2916666666667,9.483333333333333,16.583333333333332,53.666666666666664,0.6708333333333334,74.70833333333333,1.2729166666666667,78.29166666666667,65.04166666666667
2025-08-29,64.72083333333333,28.108333333333334,294.625,11.958333333333334,25.5125,68.04166666666667,0.6008333333333333,62.875,1.3875,82.95833333333333,68.58333333333333
2025-08-30,36.53333333333333,18.291666666666668,286.375,10.254166666666666,18.583333333333332,65.54166666666667,0.43083333333333335,27.833333333333332,2.058333333333333,71.04166666666667,49.5
2025-08-31,49.92916666666667,21.337500000000002,219.79166666666666,8.908333333333333,14.870833333333332,51.25,0.59875,42.916666666666664,1.3041666666666667,69.625,55.416666666666664
2025-09-01,37.425000000000004,16.650000000000002,186.29166666666666,7.1375,11.049999999999999,47.916666666666664,0.6391666666666667,29.291666666666668,0.7270833333333333,64.91666666666667,46.541666666666664
2025-09-02,38.329166666666666,18.620833333333334,212.83333333333334,6.470833333333334,12.8125,56.583333333333336,0.645,27.458333333333332,1.7541666666666667,60.583333333333336,36.541666666666664
2025-09-03,40.775,19.970833333333335,240.95833333333334,7.6125,13.908333333333333,54.958333333333336,0.6716666666666667,29.125,1.65625,66.16666666666667,40.458333333333336
2025-09-04,47.40833333333333,21.216666666666665,354.75,9.375,15.558333333333332,47.416666666666664,0.6558333333333334,39.5,0.6437499999999999,68.95833333333333,47.25
2025-09-05,44.387499999999996,21.279166666666665,248.08333333333334,8.025,12.795833333333334,59.041666666666664,0.5750000000000001,34.208333333333336,1.14375,69.125,52.541666666666664
2025-09-06,37.59583333333333,18.675,228.625,8.6625,12.191666666666668,49.916666666666664,0.5420833333333334,27.791666666666668,0.5187499999999999,67.04166666666667,42.125
2025-09-07,37.84583333333333,19.179166666666667,218.58333333333334,9.304166666666667,13.2125,52.208333333333336,0.5979166666666667,25.833333333333332,1.2375,64.58333333333333,38.416666666666664
2025-09-08,36.479166666666664,19.1125,247.25,10.225,15.891666666666666,55.541666666666664,0.5383333333333333,25.208333333333332,1.8270833333333334,64.83333333333333,37.916666666666664
2025-09-09,43.645833333333336,23.733333333333334,415.9583333333333,14.191666666666668,23.21666666666667,54.625,0.5358333333333333,29.125,1.8729166666666668,69.25,44.541666666666664
2025-09-10,57.666666666666664,34.55833333333333,603.75,18.541666666666668,43.8375,76.91666666666667,0.5129166666666667,36.291666666666664,2.127083333333333,92.70833333333333,64.66666666666667
2025-09-11,45.8125,24.40833333333333,599.5,13.216666666666667,30.895833333333332,58.583333333333336,0.5020833333333333,33.625,1.9020833333333333,88.70833333333333,64.0
2025-09-12,34.67916666666667,18.845833333333335,681.4583333333334,10.825000000000001,26.0,53.416666666666664,0.4575,23.458333333333332,1.8875,68.70833333333333,45.291666666666664
2025-09-13,35.18333333333333,19.729166666666668,683.625,11.083333333333334,20.2,51.666666666666664,0.5304166666666666,22.041666666666668,1.0958333333333334,65.125,38.166666666666664
2025-09-14,32.387499999999996,21.516666666666666,485.2916666666667,10.0625,16.133333333333333,86.25,0.6075,16.333333333333332,1.0770833333333334,69.625,45.916666666666664
2025-09-15,32.791666666666664,17.683333333333334,407.1666666666667,9.379166666666666,13.170833333333334,55.208333333333336,0.5337500000000001,22.416666666666668,0.46875,64.54166666666667,38.041666666666664
2025-09-16,28.15416666666667,17.275000000000002,557.875,12.204166666666666,21.583333333333332,41.666666666666664,0.4345833333333333,14.166666666666666,0.6770833333333334,63.083333333333336,36.25
2025-09-17,24.795833333333334,19.366666666666667,583.75,18.991666666666667,35.72083333333333,45.625,0.40375,5.625,0.9458333333333333,60.458333333333336,33.958333333333336
2025-09-18,25.316666666666666,17.033333333333335,635.875,13.166666666666666,26.09583333333333,48.333333333333336,0.42291666666666666,10.458333333333334,0.9854166666666667,66.45833333333333,39.958333333333336
